Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/chat/ (SSE),303,303,5,76.37302805279873,2.224699999715085,2090.830700000879,0.0,4.3619190756335104,4.3619190756335104,5,7,8,9,14,66,2000,2100,2100,2100,2100
,Aggregated,303,303,5,76.37302805279873,2.224699999715085,2090.830700000879,0.0,4.3619190756335104,4.3619190756335104,5,7,8,9,14,66,2000,2100,2100,2100,2100
