Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/chat/ (SSE),69,19,4,305.35445652163037,2.6066000009450363,2101.556300000084,0.0,0.7808573490466177,0.2150186903171846,4,5,7,10,2000,2100,2100,2100,2100,2100,2100
,Aggregated,69,19,4,305.35445652163037,2.6066000009450363,2101.556300000084,0.0,0.7808573490466177,0.2150186903171846,4,5,7,10,2000,2100,2100,2100,2100,2100,2100
