Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/chat/ (SSE),274,207,7,458.53175328456064,2.501399998436682,2091.9341999997414,0.0,2.3084013707120743,1.7439382618153263,7,10,17,2100,2100,2100,2100,2100,2100,2100,2100
,Aggregated,274,207,7,458.53175328456064,2.501399998436682,2091.9341999997414,0.0,2.3084013707120743,1.7439382618153263,7,10,17,2100,2100,2100,2100,2100,2100,2100,2100
